Number of Schools by Management and Year of Establishment                              Report Id : 1001,,,,,,,,
Report Generated By NIC,,,,Report Export Date :06 Mar 2025 09:49 PM,,,,
Academic Year:undefined,,State Name :all,,District Name :none,,Block Name :none,,
,,Present Management of School,,,,,,
Location,Establishment Year,State Govt,Central Govt,Govt Aided,Private,Others,Total School,Cumulative Total School
Andaman & Nicobar Islands,2019,2,0,0,0,0,2,2
Andaman & Nicobar Islands,2017,1,1,0,1,0,3,3
Andaman & Nicobar Islands,2016,2,0,0,3,0,5,5
Andaman & Nicobar Islands,2015,1,0,0,2,0,3,3
Andaman & Nicobar Islands,2014,1,0,0,1,0,2,2
Andaman & Nicobar Islands,2013,0,0,0,1,0,1,1
Andaman & Nicobar Islands,2012,13,0,0,4,0,17,17
Andaman & Nicobar Islands,2011,11,0,0,2,0,13,13
Andaman & Nicobar Islands,2010,1,0,0,1,0,2,2
Andaman & Nicobar Islands,2009,0,0,0,4,0,4,4
Andaman & Nicobar Islands,2008,0,0,0,1,0,1,1
Andaman & Nicobar Islands,2007,2,0,0,3,0,5,5
Andaman & Nicobar Islands,2006,1,0,0,5,0,6,6
Andaman & Nicobar Islands,2005,4,0,0,2,0,6,6
Andaman & Nicobar Islands,2004,1,0,0,2,0,3,3
Andaman & Nicobar Islands,2003,6,0,0,1,0,7,7
Andaman & Nicobar Islands,2002,4,0,0,5,0,9,9
Andaman & Nicobar Islands,2001,1,0,0,1,0,2,2
Andaman & Nicobar Islands,2000,1,0,0,3,0,4,4
Andaman & Nicobar Islands,1999,11,0,0,4,0,15,15
Andaman & Nicobar Islands,1998,16,0,0,0,0,16,16
Andaman & Nicobar Islands,1997,4,0,0,1,0,5,5
Andaman & Nicobar Islands,1996,0,0,0,1,0,1,1
Andaman & Nicobar Islands,1995,4,0,0,1,0,5,5
Andaman & Nicobar Islands,1994,1,0,0,1,0,2,2
Andaman & Nicobar Islands,1993,2,0,0,2,0,4,4
Andaman & Nicobar Islands,1992,2,0,0,4,0,6,6
Andaman & Nicobar Islands,1991,4,0,0,1,0,5,5
Andaman & Nicobar Islands,1990,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1989,8,0,0,1,0,9,9
Andaman & Nicobar Islands,1988,4,0,0,1,0,5,5
Andaman & Nicobar Islands,1987,4,2,0,1,0,7,7
Andaman & Nicobar Islands,1986,5,1,0,0,0,6,6
Andaman & Nicobar Islands,1985,3,0,0,3,0,6,6
Andaman & Nicobar Islands,1984,7,0,0,1,0,8,8
Andaman & Nicobar Islands,1983,3,0,0,0,0,3,3
Andaman & Nicobar Islands,1982,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1981,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1980,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1979,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1978,7,0,0,2,0,9,9
Andaman & Nicobar Islands,1977,2,0,1,1,0,4,4
Andaman & Nicobar Islands,1976,5,0,0,0,0,5,5
Andaman & Nicobar Islands,1975,8,0,0,0,0,8,8
Andaman & Nicobar Islands,1974,7,0,0,0,0,7,7
Andaman & Nicobar Islands,1973,8,0,0,1,0,9,9
Andaman & Nicobar Islands,1972,8,0,0,0,0,8,8
Andaman & Nicobar Islands,1971,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1970,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1969,7,0,0,1,0,8,8
Andaman & Nicobar Islands,1968,5,0,0,1,0,6,6
Andaman & Nicobar Islands,1967,8,0,0,0,0,8,8
Andaman & Nicobar Islands,1966,0,1,0,1,0,2,2
Andaman & Nicobar Islands,1965,3,0,0,0,0,3,3
Andaman & Nicobar Islands,1964,5,0,0,0,0,5,5
Andaman & Nicobar Islands,1963,9,0,0,0,0,9,9
Andaman & Nicobar Islands,1962,13,0,0,0,0,13,13
Andaman & Nicobar Islands,1961,16,0,0,1,0,17,17
Andaman & Nicobar Islands,1960,10,0,0,0,0,10,10
Andaman & Nicobar Islands,1959,15,0,0,0,0,15,15
Andaman & Nicobar Islands,1958,11,0,1,0,0,12,12
Andaman & Nicobar Islands,1957,6,0,0,0,0,6,6
Andaman & Nicobar Islands,1956,3,0,0,0,0,3,3
Andaman & Nicobar Islands,1955,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1954,6,0,0,0,0,6,6
Andaman & Nicobar Islands,1953,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1952,4,0,0,0,0,4,4
Andaman & Nicobar Islands,1951,1,0,0,0,0,1,1
Andaman & Nicobar Islands,1950,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1949,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1948,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1946,2,0,0,0,0,2,2
Andaman & Nicobar Islands,1944,1,0,0,0,0,1,1
Andaman & Nicobar Islands,1928,1,0,0,0,0,1,1
Andhra Pradesh,2022,7,0,0,5,0,12,12
Andhra Pradesh,2021,53,0,0,139,0,192,192
Andhra Pradesh,2020,49,0,0,223,0,272,272
Andhra Pradesh,2019,113,2,2,438,11,566,566
Andhra Pradesh,2018,114,0,0,545,20,679,679
Andhra Pradesh,2017,249,2,0,604,29,884,884
Andhra Pradesh,2016,199,1,1,601,24,826,826
Andhra Pradesh,2015,52,0,0,507,6,565,565
Andhra Pradesh,2014,94,3,0,388,17,502,502
Andhra Pradesh,2013,285,0,3,458,6,752,752
Andhra Pradesh,2012,261,0,0,591,9,861,861
Andhra Pradesh,2011,219,0,0,624,6,849,849
Andhra Pradesh,2010,132,1,0,925,12,1070,1070
Andhra Pradesh,2009,78,2,1,660,7,748,748
Andhra Pradesh,2008,128,0,0,436,9,573,573
Andhra Pradesh,2007,200,5,0,636,7,848,848
Andhra Pradesh,2006,223,0,0,464,8,695,695
Andhra Pradesh,2005,407,0,0,641,5,1053,1053
Andhra Pradesh,2004,512,0,3,525,4,1044,1044
Andhra Pradesh,2003,463,0,1,414,7,885,885
Andhra Pradesh,2002,799,0,1,505,1,1306,1306
Andhra Pradesh,2001,1975,0,1,532,1,2509,2509
Andhra Pradesh,2000,475,0,1,366,6,848,848
Andhra Pradesh,1999,695,2,1,264,0,962,962
Andhra Pradesh,1998,1999,0,3,287,2,2291,2291
Andhra Pradesh,1997,653,1,4,382,0,1040,1040
Andhra Pradesh,1996,354,0,2,307,0,663,663
